name,longitude,latitude,location,ref,man_made,operator,source,url,height,ele,communications_transponder:frequency,communications_transponder:tone,communications_transponder:modulation,communications_transponder:access,communications_transponder:service,communications_transponder:polarisation,communications_transponder:power,comment
N4MDC,-68.29,44.29,"Northeast",N4MDC,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Harbor,,NFM,Public,AMATEUR,,,"offset=224.4MHz"
N1CHF,-68.38,47.28,"Frenchville",N1CHF,communications_transponder,,http://www.poi-factory.com/node/2227,,,,224.18,,NFM,Public,AMATEUR,,,"offset=-"
WA1KAH,-68.66,44.69,"Dedham",WA1KAH,communications_transponder,,http://www.poi-factory.com/node/2227,,,,223.76,,NFM,Public,AMATEUR,,,"offset=-"
K1EHO,-69.16,44.27,"Hope",K1EHO,communications_transponder,,http://www.poi-factory.com/node/2227,,,,224,,NFM,Public,AMATEUR,,,"offset=-"
WA1ZDA,-69.24,44.12,"Warren",WA1ZDA,communications_transponder,,http://www.poi-factory.com/node/2227,,,,224.1,,NFM,Public,AMATEUR,,,"offset=-"
W1IMD,-69.29,45.84,"Woodstock",W1IMD,communications_transponder,,http://www.poi-factory.com/node/2227,,,,223.94,103.5,NFM,Public,AMATEUR,,,"offset=-"
KC1CG,-69.37,44.27,"Washington",KC1CG,communications_transponder,,http://www.poi-factory.com/node/2227,,,,224.28,91.5,NFM,Public,AMATEUR,,,"offset=-"
N1PS,-69.38,44.1,"Waldoboro",N1PS,communications_transponder,,http://www.poi-factory.com/node/2227,,,,224.78,107.2,NFM,Public,AMATEUR,,,"offset=-"
N1EWS,-69.98,44.31,"Winthrop",N1EWS,communications_transponder,,http://www.poi-factory.com/node/2227,,,,224.72,,NFM,Public,AMATEUR,,,"offset=-"
W1IF,-70.37,44.29,"Buckfield",W1IF,communications_transponder,,http://www.poi-factory.com/node/2227,,,,224.62,103.5,NFM,Public,AMATEUR,,,"offset=-"
W1GLO,-70.66,42.62,"Gloucester",W1GLO,communications_transponder,,http://www.poi-factory.com/node/2227,,,,224.9,,NFM,Public,AMATEUR,,,"offset=-"
NS1RA,-70.93,42.57,"Danvers",NS1RA,communications_transponder,,http://www.poi-factory.com/node/2227,,,,224.38,,NFM,Public,AMATEUR,,,"offset=-"
K1KN,-70.95,42.98,"Exeter",K1KN,communications_transponder,,http://www.poi-factory.com/node/2227,,,,224.22,67,NFM,Public,AMATEUR,,,"offset=+"
N1KUG,-71,42.25,"Quincy",N1KUG,communications_transponder,,http://www.poi-factory.com/node/2227,,,,224.4,103.5,NFM,Public,AMATEUR,,,"offset=-"
WA1WYA,-71.07,42.51,"Wakefield",WA1WYA,communications_transponder,,http://www.poi-factory.com/node/2227,,,,224.72,,NFM,Public,AMATEUR,,,"offset=-"
K1KKM,-71.08,42.78,"Haverhill",K1KKM,communications_transponder,,http://www.poi-factory.com/node/2227,,,,223.92,141.3,NFM,Public,AMATEUR,,,"offset=-"
N1IRS,-71.08,42.78,"Haverhill",N1IRS,communications_transponder,,http://www.poi-factory.com/node/2227,,,,224.12,103.5,NFM,Public,AMATEUR,,,"offset=-"
KA1JMF,-71.1,42.48,"Stoneham",KA1JMF,communications_transponder,,http://www.poi-factory.com/node/2227,,,,224.42,,NFM,Public,AMATEUR,,,"offset=-"
K1CF,-71.11,42.42,"Medford",K1CF,communications_transponder,,http://www.poi-factory.com/node/2227,,,,224.36,,NFM,Public,AMATEUR,,,"offset=-"
WA1WLU,-71.14,42.7,"North",WA1WLU,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Andover,,NFM,Public,AMATEUR,,,"offset=224.52MHz"
WA1WLU,-71.14,42.66,"Andover",WA1WLU,communications_transponder,,http://www.poi-factory.com/node/2227,,,,224.68,,NFM,Public,AMATEUR,,,"offset=-"
KA1RMF,-71.15,42.48,"Woburn",KA1RMF,communications_transponder,,http://www.poi-factory.com/node/2227,,,,224.98,,NFM,Public,AMATEUR,,,"offset=-"
N1EXC,-71.16,42.71,"Lawrence",N1EXC,communications_transponder,,http://www.poi-factory.com/node/2227,,,,224.3,,NFM,Public,AMATEUR,,,"offset=-"
K1KZP,-71.17,42.55,"Wilmington",K1KZP,communications_transponder,,http://www.poi-factory.com/node/2227,,,,224.16,67,NFM,Public,AMATEUR,,,"offset=-"
KB1FX,-71.18,42.4,"Belmont",KB1FX,communications_transponder,,http://www.poi-factory.com/node/2227,,,,223.78,100,NFM,Public,AMATEUR,,,"offset=-"
KX1M,-71.19,42.73,"Methuen",KX1M,communications_transponder,,http://www.poi-factory.com/node/2227,,,,224.96,103.5,NFM,Public,AMATEUR,,,"offset=-"
N1HDY,-71.23,42.61,"Tewksbury",N1HDY,communications_transponder,,http://www.poi-factory.com/node/2227,,,,224.26,67,NFM,Public,AMATEUR,,,"offset=-"
WA1GEP,-71.24,42.38,"Waltham",WA1GEP,communications_transponder,,http://www.poi-factory.com/node/2227,,,,224.94,,NFM,Public,AMATEUR,,,"offset=-"
W1ZSA,-71.25,42.14,"Walpole",W1ZSA,communications_transponder,,http://www.poi-factory.com/node/2227,,,,224.32,118.8,NFM,Public,AMATEUR,,,"offset=-"
K1OX,-71.26,42.96,"Chester",K1OX,communications_transponder,,http://www.poi-factory.com/node/2227,,,,224.2,,NFM,Public,AMATEUR,,,"offset=+"
N1IMO,-71.26,42.96,"Chester",N1IMO,communications_transponder,,http://www.poi-factory.com/node/2227,,,,224.5,88.5,NFM,Public,AMATEUR,,,"offset=+"
N1TVZ,-71.29,41.94,"Attleboro",N1TVZ,communications_transponder,,http://www.poi-factory.com/node/2227,,,,224.62,88.5,NFM,Public,AMATEUR,,,"offset=-"
W1IMD,-71.3,44.27,"Mt",W1IMD,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Washington,103.5,NFM,Public,AMATEUR,,,"offset=224.86MHz"
N1NOM,-71.3,42.37,"Weston",N1NOM,communications_transponder,,http://www.poi-factory.com/node/2227,,,,224.7,103.5,NFM,Public,AMATEUR,,,"offset=-"
WA1TAQ,-71.31,41.49,"Newport",WA1TAQ,communications_transponder,,http://www.poi-factory.com/node/2227,,,,223.82,88.5,NFM,Public,AMATEUR,,,"offset=-"
N1AKE,-71.32,43.31,"Pittsfield",N1AKE,communications_transponder,,http://www.poi-factory.com/node/2227,,,,224.54,103.5,NFM,Public,AMATEUR,,,"offset=+"
K1CA,-71.33,42.88,"Derry",K1CA,communications_transponder,,http://www.poi-factory.com/node/2227,,,,224.46,85.4,NFM,Public,AMATEUR,,,"offset=+"
N1AU,-71.35,42.46,"Concord",N1AU,communications_transponder,,http://www.poi-factory.com/node/2227,,,,224.04,,NFM,Public,AMATEUR,,,"offset=-"
W1KG,-71.4,42.14,"Medway",W1KG,communications_transponder,,http://www.poi-factory.com/node/2227,,,,224.66,,NFM,Public,AMATEUR,,,"offset=-"
WA1TAQ,-71.41,41.82,"Providence",WA1TAQ,communications_transponder,,http://www.poi-factory.com/node/2227,,,,224.92,88.5,NFM,Public,AMATEUR,,,"offset=-"
KD1T,-71.42,42.28,"Framingham",KD1T,communications_transponder,,http://www.poi-factory.com/node/2227,,,,224.24,,NFM,Public,AMATEUR,,,"offset=-"
KD1BC,-71.42,42.2,"Holliston",KD1BC,communications_transponder,,http://www.poi-factory.com/node/2227,,,,224.06,103.5,NFM,Public,AMATEUR,,,"offset=-"
KA1LMX,-71.42,41.7,"Warwick",KA1LMX,communications_transponder,,http://www.poi-factory.com/node/2227,,,,223.92,,NFM,Public,AMATEUR,,,"offset=-"
N1FIK,-71.43,43.52,"Mt",N1FIK,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Uncanoonuc,103.5,NFM,Public,AMATEUR,,,"offset=223.9MHz"
K1HR,-71.43,43.52,"Cannon",K1HR,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Mtn,114.8,NFM,Public,AMATEUR,,,"offset=224.06MHz"
K1KYI,-71.44,41.91,"Lincoln",K1KYI,communications_transponder,,http://www.poi-factory.com/node/2227,,,,223.76,,NFM,Public,AMATEUR,,,"offset=-"
KA1RCI,-71.44,41.91,"Lincoln",KA1RCI,communications_transponder,,http://www.poi-factory.com/node/2227,,,,223.96,127.3,NFM,Public,AMATEUR,,,"offset=-"
KA1MYV,-71.44,41.91,"Lincoln",KA1MYV,communications_transponder,,http://www.poi-factory.com/node/2227,,,,224.2,100,NFM,Public,AMATEUR,,,"offset=-"
W1OP,-71.5,41.83,"Johnston",W1OP,communications_transponder,,http://www.poi-factory.com/node/2227,,,,223.98,,NFM,Public,AMATEUR,,,"offset=-"
N1BHI,-71.52,42.23,"Hopkinton",N1BHI,communications_transponder,,http://www.poi-factory.com/node/2227,,,,223.94,103.5,NFM,Public,AMATEUR,,,"offset=-"
