name,longitude,latitude,location,ref,man_made,operator,source,url,height,ele,communications_transponder:frequency,communications_transponder:tone,communications_transponder:modulation,communications_transponder:access,communications_transponder:service,communications_transponder:polarisation,communications_transponder:power,comment
WH6F,-157.858444,21.3067,"Honolulu",WH6F,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.03,,NFM,Public,AMATEUR,,,"offset=-1MHz"
AH6GG,-155.15332,19.49255,"Glenwood",AH6GG,communications_transponder,,http://www.poi-factory.com/node/2227,,,,52.2,141.3,NFM,Public,AMATEUR,,,"offset=-1MHz"
N7HQZ,-124.26252,40.576572,"Ferndale",N7HQZ,communications_transponder,,http://www.poi-factory.com/node/2227,,,,51.84,114.8,NFM,Public,AMATEUR,,,"offset=-0.5MHz"
WD6FGX,-123.353783,39.409328,"Willits",WD6FGX,communications_transponder,,http://www.poi-factory.com/node/2227,,,,51.7,114.8,NFM,Public,AMATEUR,,,"offset=-0.5MHz"
K7WWA,-123.353783,39.409328,"Willits",K7WWA,communications_transponder,,http://www.poi-factory.com/node/2227,,,,51.74,114.8,NFM,Public,AMATEUR,,,"offset=-0.5MHz"
K7CH,-123.216,46.48861,"Baw",K7CH,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Faw,100,NFM,Public,AMATEUR,,,"offset=none"
WR7JM,-123.1393,46.9726,"Capitol",WR7JM,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Peak,100,NFM,Public,AMATEUR,,,"offset=53.47MHz"
KR7IS,-123.110321,45.518368,"Forest",KR7IS,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Grove,107.2,NFM,Public,AMATEUR,,,"offset=53.35MHz"
KM6XU,-122.995209,38.502731,"Guerneville",KM6XU,communications_transponder,,http://www.poi-factory.com/node/2227,,,,51.8,114.8,NFM,Public,AMATEUR,,,"offset=-0.5MHz"
WR7V,-122.97,48.007,"Blyn",WR7V,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Mtn,100,NFM,Public,AMATEUR,,,"offset=53.37MHz"
KR7IS,-122.78,45.302,"Wilsonville",KR7IS,communications_transponder,,http://www.poi-factory.com/node/2227,,,,52.83,107.2,NFM,Public,AMATEUR,,,"offset=-1.7MHz"
KE6ORI,-122.697754,38.062241,"Nicasio",KE6ORI,communications_transponder,,http://www.poi-factory.com/node/2227,,,,52.88,114.8,NFM,Public,AMATEUR,,,"offset=-0.5MHz"
N7ROD,-122.675346,45.52383,"Portland",N7ROD,communications_transponder,,http://www.poi-factory.com/node/2227,,,,52.89,100,NFM,Public,AMATEUR,,,"offset=-1.7MHz"
N7NVP,-122.630219,47.566528,"Bremerton",N7NVP,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.21,100,NFM,Public,AMATEUR,,,"offset=-1.7MHz"
N0EDS,-122.624939,38.958271,"Clear",N0EDS,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Lake,114.8,NFM,Public,AMATEUR,,,"offset=51.96MHz"
AC6VJ,-122.613823,38.75201,"Middletown",AC6VJ,communications_transponder,,http://www.poi-factory.com/node/2227,,,,51.84,88.5,NFM,Public,AMATEUR,,,"offset=-0.5MHz"
AB7F,-122.569,45.667,"Orchards",AB7F,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.75,123,NFM,Public,AMATEUR,,,"offset=-1.7MHz"
WR7HE,-122.542,47.429,"Olalla",WR7HE,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.23,103.5,NFM,Public,AMATEUR,,,"offset=-1.7MHz"
W7NPC,-122.521,47.647,"Bainbridge",W7NPC,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Island,100,NFM,Public,AMATEUR,,,"offset=53.43MHz"
K7HW,-122.442886,47.25293,"Tacoma",K7HW,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.19,100,NFM,Public,AMATEUR,,,"offset=-1.7MHz"
WR6VHF,-122.417068,37.7742,"San",WR6VHF,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Jose,100,NFM,Public,AMATEUR,,,"offset=51.82MHz"
KD7DYR,-122.4,45.59,"Camas",KD7DYR,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.05,,NFM,Public,AMATEUR,,,"offset=-1.7MHz"
KD6NOL,-122.390419,40.586693,"Redding",KD6NOL,communications_transponder,,http://www.poi-factory.com/node/2227,,,,51.76,179.9,NFM,Public,AMATEUR,,,"offset=-0.5MHz"
WR6TV,-122.390419,40.586693,"Redding",WR6TV,communications_transponder,,http://www.poi-factory.com/node/2227,,,,52.66,107.2,NFM,Public,AMATEUR,,,"offset=-0.5MHz"
KD6KML,-122.358696,38.40192,"Yountville",KD6KML,communications_transponder,,http://www.poi-factory.com/node/2227,,,,52.62,114.8,NFM,Public,AMATEUR,,,"offset=-0.5MHz"
W7ACS,-122.329437,47.60577,"Seattle",W7ACS,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.25,100,NFM,Public,AMATEUR,,,"offset=-1.7MHz"
KG7PD,-122.315079,47.82114,"Lynnwood",KG7PD,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.27,100,NFM,Public,AMATEUR,,,"offset=-1.7MHz"
KB7SVU,-122.294777,47.053101,"Puyallup",KB7SVU,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.67,103.5,NFM,Public,AMATEUR,,,"offset=-1.7MHz"
WR6VHF,-122.284821,38.297501,"Napa",WR6VHF,communications_transponder,,http://www.poi-factory.com/node/2227,,,,51.82,151.4,NFM,Public,AMATEUR,,,"offset=-0.5MHz"
N6TKW,-122.284821,38.297501,"Napa",N6TKW,communications_transponder,,http://www.poi-factory.com/node/2227,,,,52.72,114.8,NFM,Public,AMATEUR,,,"offset=-0.5MHz"
WR6VHF,-122.271912,37.872509,"Berkeley",WR6VHF,communications_transponder,,http://www.poi-factory.com/node/2227,,,,51.82,107.2,NFM,Public,AMATEUR,,,"offset=-0.5MHz"
W7PFR,-122.27,46.87,"Eatonville",W7PFR,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.41,100,NFM,Public,AMATEUR,,,"offset=-1.7MHz"
WB6MZS,-122.236221,37.486111,"Redwood",WB6MZS,communications_transponder,,http://www.poi-factory.com/node/2227,,,,City,107.2,NFM,Public,AMATEUR,,,"offset=53.64MHz"
AA7UJ,-122.208443,47.682049,"Kirkland",AA7UJ,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.17,100,NFM,Public,AMATEUR,,,"offset=-1.7MHz"
WW7MST,-122.203232,47.761898,"Bothell",WW7MST,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.55,100,NFM,Public,AMATEUR,,,"offset=-1.7MHz"
N7RTT,-122.201477,47.97794,"Everett",N7RTT,communications_transponder,,http://www.poi-factory.com/node/2227,,,,52.95,100,NFM,Public,AMATEUR,,,"offset=-1.7MHz"
K5IN,-122.201477,47.97794,"Everett",K5IN,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.13,100,NFM,Public,AMATEUR,,,"offset=-1.7MHz"
KB7IP,-122.180969,37.45348,"Menlo",KB7IP,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Park,114.8,NFM,Public,AMATEUR,,,"offset=51.78MHz"
W7UMH,-122.159063,48.594693,"Lyman",W7UMH,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Hill,100,NFM,Public,AMATEUR,,,"offset=53.09MHz"
WR6VHF,-122.155762,37.724979,"San",WR6VHF,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Luis,118.8,NFM,Public,AMATEUR,,,"offset=none"
KC7IYE,-122.120529,47.673828,"Redmond",KC7IYE,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.07,100,NFM,Public,AMATEUR,,,"offset=-1.7MHz"
K7MMI,-122.098,47.54,"Cougar",K7MMI,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Mtn,100,NFM,Public,AMATEUR,,,"offset=53.31MHz"
W7QA,-122.097206,47.911419,"Snohomish",W7QA,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.65,100,NFM,Public,AMATEUR,,,"offset=-1.7MHz"
WR6AOK,-122.085114,37.08923,"Ben",WR6AOK,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Lomond,114.8,NFM,Public,AMATEUR,,,"offset=52.8MHz"
K6EAG,-122.080841,37.668751,"Hayward",K6EAG,communications_transponder,,http://www.poi-factory.com/node/2227,,,,52.76,114.8,NFM,Public,AMATEUR,,,"offset=-0.5MHz"
WR6VHF,-122.029961,37.97839,"Concord",WR6VHF,communications_transponder,,http://www.poi-factory.com/node/2227,,,,51.82,127.3,NFM,Public,AMATEUR,,,"offset=-0.5MHz"
WR6VHF,-121.986397,38.356659,"Vacaville",WR6VHF,communications_transponder,,http://www.poi-factory.com/node/2227,,,,51.82,141.3,NFM,Public,AMATEUR,,,"offset=-0.5MHz"
WV6F,-121.986397,38.356659,"Vacaville",WV6F,communications_transponder,,http://www.poi-factory.com/node/2227,,,,52.74,127.3,NFM,Public,AMATEUR,,,"offset=-0.5MHz"
N6NMZ,-121.986397,38.356659,"Vacaville",N6NMZ,communications_transponder,,http://www.poi-factory.com/node/2227,,,,52.86,136.5,NFM,Public,AMATEUR,,,"offset=-0.5MHz"
K7CR,-121.95,47.49,"Tiger",K7CR,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Mtn,100,NFM,Public,AMATEUR,,,"offset=none"
WR7JM,-121.95,47.49,"Tiger",WR7JM,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Mtn,100,NFM,Public,AMATEUR,,,"offset=none"
