name,longitude,latitude,location,ref,man_made,operator,source,url,height,ele,communications_transponder:frequency,communications_transponder:tone,communications_transponder:modulation,communications_transponder:access,communications_transponder:service,communications_transponder:polarisation,communications_transponder:power,comment
NH6JA,-159.530258,21.928688,"Kalaheo",NH6JA,communications_transponder,,http://www.poi-factory.com/node/2227,,,,442.05,,NFM,Public,AMATEUR,,,"offset=+"
NH6HF,-159.371643,21.980274,"Lihue",NH6HF,communications_transponder,,http://www.poi-factory.com/node/2227,,,,444.9,,NFM,Public,AMATEUR,,,"offset=+"
KH6HFD,-158.152283,21.58008,"Mokuleia",KH6HFD,communications_transponder,,http://www.poi-factory.com/node/2227,,,,443.4,114.8,NFM,Public,AMATEUR,,,"offset=+"
KH6HFD,-158.152283,21.58008,"Mokuleia",KH6HFD,communications_transponder,,http://www.poi-factory.com/node/2227,,,,443.6,,NFM,Public,AMATEUR,,,"offset=+"
KH6CY,-158.040436,21.342449,"Ewa",KH6CY,communications_transponder,,http://www.poi-factory.com/node/2227,,,,443.1,103.5,NFM,Public,AMATEUR,,,"offset=+"
NH6QJ,-157.858444,21.3067,"Honolulu",NH6QJ,communications_transponder,,http://www.poi-factory.com/node/2227,,,,442.6,,NFM,Public,AMATEUR,,,"offset=4MHz"
WH6F,-157.858444,21.3067,"Honolulu",WH6F,communications_transponder,,http://www.poi-factory.com/node/2227,,,,443.3,,NFM,Public,AMATEUR,,,"offset=+"
NH6QJ,-157.858444,21.3067,"Honolulu",NH6QJ,communications_transponder,,http://www.poi-factory.com/node/2227,,,,443.45,,NFM,Public,AMATEUR,,,"offset=+"
WH6UG,-157.858444,21.3067,"Honolulu",WH6UG,communications_transponder,,http://www.poi-factory.com/node/2227,,,,443.675,,NFM,Public,AMATEUR,,,"offset=+"
NH6XO,-157.858444,21.3067,"Honolulu",NH6XO,communications_transponder,,http://www.poi-factory.com/node/2227,,,,443.775,123,NFM,Public,AMATEUR,,,"offset=+"
KH7TK,-157.858444,21.3067,"Honolulu",KH7TK,communications_transponder,,http://www.poi-factory.com/node/2227,,,,443.95,118.8,NFM,Public,AMATEUR,,,"offset=+"
NH6WP,-157.858444,21.3067,"Honolulu",NH6WP,communications_transponder,,http://www.poi-factory.com/node/2227,,,,444,,NFM,Public,AMATEUR,,,"offset=+"
KH6OCD,-157.858444,21.3067,"Honolulu",KH6OCD,communications_transponder,,http://www.poi-factory.com/node/2227,,,,444.05,,NFM,Public,AMATEUR,,,"offset=+"
KH6SW,-157.858444,21.3067,"Honolulu",KH6SW,communications_transponder,,http://www.poi-factory.com/node/2227,,,,444.2,,NFM,Public,AMATEUR,,,"offset=+"
AH6RH,-157.858444,21.3067,"Honolulu",AH6RH,communications_transponder,,http://www.poi-factory.com/node/2227,,,,444.325,,NFM,Public,AMATEUR,,,"offset=+"
AH6CP,-157.858444,21.3067,"Honolulu",AH6CP,communications_transponder,,http://www.poi-factory.com/node/2227,,,,444.35,103.5,NFM,Public,AMATEUR,,,"offset=+"
KH7O,-157.858444,21.3067,"Honolulu",KH7O,communications_transponder,,http://www.poi-factory.com/node/2227,,,,444.45,,NFM,Public,AMATEUR,,,"offset=+"
AH7HI,-157.858444,21.3067,"Honolulu",AH7HI,communications_transponder,,http://www.poi-factory.com/node/2227,,,,444.825,,NFM,Public,AMATEUR,,,"offset=+"
NH6YM,-157.858444,21.3067,"Honolulu",NH6YM,communications_transponder,,http://www.poi-factory.com/node/2227,,,,444.875,103.5,NFM,Public,AMATEUR,,,"offset=+"
AH6CP,-157.858444,21.3067,"Honolulu",AH6CP,communications_transponder,,http://www.poi-factory.com/node/2227,,,,444.9,,NFM,Public,AMATEUR,,,"offset=+"
WH6HR,-157.858444,21.3067,"Honolulu",WH6HR,communications_transponder,,http://www.poi-factory.com/node/2227,,,,448.625,,NFM,Public,AMATEUR,,,"offset=-"
WH6CZB,-157.858444,21.3067,"Honolulu",WH6CZB,communications_transponder,,http://www.poi-factory.com/node/2227,,,,448.7,,NFM,Public,AMATEUR,,,"offset=-"
KH6HFD,-157.854172,21.556719,"Kaaawa",KH6HFD,communications_transponder,,http://www.poi-factory.com/node/2227,,,,443.825,114.8,NFM,Public,AMATEUR,,,"offset=+"
KH6EJ,-157.785507,21.26918,"Kohala",KH6EJ,communications_transponder,,http://www.poi-factory.com/node/2227,,,,444.45,,NFM,Public,AMATEUR,,,"offset=+"
AH6HI,-157.738953,21.402868,"Kailua",AH6HI,communications_transponder,,http://www.poi-factory.com/node/2227,,,,444.425,,NFM,Public,AMATEUR,,,"offset=+"
WH6CZB,-157.738953,21.402868,"Kailua",WH6CZB,communications_transponder,,http://www.poi-factory.com/node/2227,,,,449.15,,NFM,Public,AMATEUR,,,"offset=-"
KH6HFD,-157.720642,21.348969,"Waimanalo",KH6HFD,communications_transponder,,http://www.poi-factory.com/node/2227,,,,443.4,114.8,NFM,Public,AMATEUR,,,"offset=+"
KH6HFD,-157.720642,21.348969,"Waimanalo",KH6HFD,communications_transponder,,http://www.poi-factory.com/node/2227,,,,443.5,114.8,NFM,Public,AMATEUR,,,"offset=+"
WH6CZB,-156.947998,21.225901,"Diamond",WH6CZB,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Head,,NFM,Public,AMATEUR,,,"offset=444.5MHz"
AH6GR,-156.947998,21.225901,"Haleakala",AH6GR,communications_transponder,,http://www.poi-factory.com/node/2227,,,,442.75,,NFM,Public,AMATEUR,,,"offset=+"
AH6IF,-156.947998,21.225901,"Haleakala",AH6IF,communications_transponder,,http://www.poi-factory.com/node/2227,,,,443.15,,NFM,Public,AMATEUR,,,"offset=+"
WH6KO,-156.947998,21.225901,"Haleakala",WH6KO,communications_transponder,,http://www.poi-factory.com/node/2227,,,,443.8,,NFM,Public,AMATEUR,,,"offset=+"
KH6FV,-156.947998,21.225901,"Leeward",KH6FV,communications_transponder,,http://www.poi-factory.com/node/2227,,,,444.65,114.8,NFM,Public,AMATEUR,,,"offset=+"
KH6HFD,-156.947998,21.225901,"Manawahua",KH6HFD,communications_transponder,,http://www.poi-factory.com/node/2227,,,,443.475,114.8,NFM,Public,AMATEUR,,,"offset=+"
KH6HFD,-156.947998,21.225901,"Manawahua",KH6HFD,communications_transponder,,http://www.poi-factory.com/node/2227,,,,443.55,114.8,NFM,Public,AMATEUR,,,"offset=+"
KH7O,-156.947998,21.225901,"Maunakapu",KH7O,communications_transponder,,http://www.poi-factory.com/node/2227,,,,442.4,,NFM,Public,AMATEUR,,,"offset=+"
WH6CZB,-156.947998,21.225901,"Maunakapu",WH6CZB,communications_transponder,,http://www.poi-factory.com/node/2227,,,,444.1,,NFM,Public,AMATEUR,,,"offset=+"
KH6FV,-156.947998,21.225901,"North",KH6FV,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Shore,114.8,NFM,Public,AMATEUR,,,"offset=444.55MHz"
NH6XO,-156.947998,21.225901,"North",NH6XO,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Shore,,NFM,Public,AMATEUR,,,"offset=444.775MHz"
KH6HFD,-156.947998,21.225901,"Round",KH6HFD,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Top,,NFM,Public,AMATEUR,,,"offset=443.425MHz"
KH6HFD,-156.947998,21.225901,"Round",KH6HFD,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Top,114.8,NFM,Public,AMATEUR,,,"offset=443.825MHz"
KH6HFD,-156.947998,21.225901,"Round",KH6HFD,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Top,114.8,NFM,Public,AMATEUR,,,"offset=444.85MHz"
KH6E,-156.947998,21.225901,"Weiku",KH6E,communications_transponder,,http://www.poi-factory.com/node/2227,,,,449.175,118.8,NFM,Public,AMATEUR,,,"offset=-"
KH6E,-156.947998,21.225901,"Weiku",KH6E,communications_transponder,,http://www.poi-factory.com/node/2227,,,,449.25,118.8,NFM,Public,AMATEUR,,,"offset=-"
AH6IF,-156.504547,20.890951,"Wailuku",AH6IF,communications_transponder,,http://www.poi-factory.com/node/2227,,,,444.95,,NFM,Public,AMATEUR,,,"offset=+"
AH6RF,-155.611694,20.103704,"Kona",AH6RF,communications_transponder,,http://www.poi-factory.com/node/2227,,,,444.9,,NFM,Public,AMATEUR,,,"offset=4.5MHz"
KH6EJ,-155.611099,20.109602,"Kau",KH6EJ,communications_transponder,,http://www.poi-factory.com/node/2227,,,,444.6,,NFM,Public,AMATEUR,,,"offset=+"
AH6RF,-155.130295,19.898771,"Hakalau",AH6RF,communications_transponder,,http://www.poi-factory.com/node/2227,,,,443.2,,NFM,Public,AMATEUR,,,"offset=+"
AH6JA,-155.090744,19.728956,"Hilo",AH6JA,communications_transponder,,http://www.poi-factory.com/node/2227,,,,444.15,,NFM,Public,AMATEUR,,,"offset=+"
KH6EJ,-155.042007,19.625532,"Keaau",KH6EJ,communications_transponder,,http://www.poi-factory.com/node/2227,,,,442.5,,NFM,Public,AMATEUR,,,"offset=+"
AL7LQ,-152.406418,57.78994,"Kodiak",AL7LQ,communications_transponder,,http://www.poi-factory.com/node/2227,,,,444.85,141.3,NFM,Public,AMATEUR,,,"offset=+"
WL7CVG,-149.899612,61.218552,"Anchorage",WL7CVG,communications_transponder,,http://www.poi-factory.com/node/2227,,,,443.3,103.5,NFM,Public,AMATEUR,,,"offset=+"
KL7AA,-149.899612,61.218552,"Anchorage",KL7AA,communications_transponder,,http://www.poi-factory.com/node/2227,,,,444.7,141.3,NFM,Public,AMATEUR,,,"offset=+"
KL7GG,-149.68721,61.254654,"Ft",KL7GG,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Richardson,100,NFM,Public,AMATEUR,,,"offset=444.5MHz"
KL7GG,-149.568192,61.321602,"Eagle",KL7GG,communications_transponder,,http://www.poi-factory.com/node/2227,,,,River,100,NFM,Public,AMATEUR,,,"offset=444.1MHz"
WL7CVF,-149.112457,61.600216,"Palmer",WL7CVF,communications_transponder,,http://www.poi-factory.com/node/2227,,,,443.9,103.5,NFM,Public,AMATEUR,,,"offset=+"
KL7CC,-149.112457,61.600216,"Palmer",KL7CC,communications_transponder,,http://www.poi-factory.com/node/2227,,,,447.57,103.5,NFM,Public,AMATEUR,,,"offset=-300MHz"
KL7NO,-147.713776,64.838249,"Fairbanks",KL7NO,communications_transponder,,http://www.poi-factory.com/node/2227,,,,444.1,,NFM,Public,AMATEUR,,,"offset=+"
KL7KC,-147.713776,64.838249,"Fairbanks",KL7KC,communications_transponder,,http://www.poi-factory.com/node/2227,,,,444.8,103.5,NFM,Public,AMATEUR,,,"offset=+"
NL7V,-147.350906,64.751076,"North",NL7V,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Pole,,NFM,Public,AMATEUR,,,"offset=443.64MHz"
KL7KC,-141.935944,64.073105,"Chicken",KL7KC,communications_transponder,,http://www.poi-factory.com/node/2227,,,,444.7,103.5,NFM,Public,AMATEUR,,,"offset=+"
KL7PF,-134.420868,58.301773,"Juneau",KL7PF,communications_transponder,,http://www.poi-factory.com/node/2227,,,,444.5,,NFM,Public,AMATEUR,,,"offset=+"
WA6AXO,-134.420868,58.301773,"Juneau",WA6AXO,communications_transponder,,http://www.poi-factory.com/node/2227,,,,444.7,,NFM,Public,AMATEUR,,,"offset=+"
K7PP,-124.383171,47.950569,"Forks",K7PP,communications_transponder,,http://www.poi-factory.com/node/2227,,,,443.4,114.8,NFM,Public,AMATEUR,,,"offset=+"
K7PFJ,-124.21524,43.36797,"Coos",K7PFJ,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Bay,100,NFM,Public,AMATEUR,,,"offset=442.075MHz"
KD6GDZ,-124.20015,41.755989,"Crescent",KD6GDZ,communications_transponder,,http://www.poi-factory.com/node/2227,,,,City,100,NFM,Public,AMATEUR,,,"offset=443.05MHz"
AE6R,-124.162491,40.80151,"Eureka",AE6R,communications_transponder,,http://www.poi-factory.com/node/2227,,,,442,100,NFM,Public,AMATEUR,,,"offset=+"
NM7R,-124.053238,46.352631,"Long",NM7R,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Beach,118.8,NFM,Public,AMATEUR,,,"offset=444.8MHz"
N7HQR,-124.051041,44.637161,"Newport",N7HQR,communications_transponder,,http://www.poi-factory.com/node/2227,,,,444.75,118.8,NFM,Public,AMATEUR,,,"offset=+"
N7UJK,-123.96059,46.98471,"Grays",N7UJK,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Harbor,114.8,NFM,Public,AMATEUR,,,"offset=444.95MHz"
NM7R,-123.953239,46.631512,"Bay",NM7R,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Center,118.8,NFM,Public,AMATEUR,,,"offset=444.4MHz"
N7HQR,-123.860443,45.230072,"Hebo",N7HQR,communications_transponder,,http://www.poi-factory.com/node/2227,,,,440.9,118.8,NFM,Public,AMATEUR,,,"offset=+"
W7LI,-123.860443,45.230072,"Hebo",W7LI,communications_transponder,,http://www.poi-factory.com/node/2227,,,,441.25,118.8,NFM,Public,AMATEUR,,,"offset=+"
N7BAG,-123.85763,46.2509,"Megler",N7BAG,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Mtn,100,NFM,Public,AMATEUR,,,"offset=440.925MHz"
N7BAG,-123.85763,46.2509,"Megler",N7BAG,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Mtn,100,NFM,Public,AMATEUR,,,"offset=444.5MHz"
N7BAG,-123.830147,46.187752,"Astoria",N7BAG,communications_transponder,,http://www.poi-factory.com/node/2227,,,,440.925,100,NFM,Public,AMATEUR,,,"offset=+"
N7BAG,-123.830147,46.187752,"Astoria",N7BAG,communications_transponder,,http://www.poi-factory.com/node/2227,,,,444.5,100,NFM,Public,AMATEUR,,,"offset=+"
W7FBM,-123.830147,46.187752,"Astoria",W7FBM,communications_transponder,,http://www.poi-factory.com/node/2227,,,,444.775,,NFM,Public,AMATEUR,,,"offset=+"
KA7DNK,-123.814362,46.976059,"Aberdeen",KA7DNK,communications_transponder,,http://www.poi-factory.com/node/2227,,,,444.6,100,NFM,Public,AMATEUR,,,"offset=+"
NM7R,-123.802368,46.66341,"South",NM7R,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Bend,118.8,NFM,Public,AMATEUR,,,"offset=442.675MHz"
W7EOC,-123.771179,46.954781,"Cosmopolis",W7EOC,communications_transponder,,http://www.poi-factory.com/node/2227,,,,444.7,118.8,NFM,Public,AMATEUR,,,"offset=+"
KA7DNK,-123.730919,46.686649,"Raymond",KA7DNK,communications_transponder,,http://www.poi-factory.com/node/2227,,,,443.825,103.5,NFM,Public,AMATEUR,,,"offset=+"
W7SLA,-123.585159,44.030628,"Walton",W7SLA,communications_transponder,,http://www.poi-factory.com/node/2227,,,,443.05,162.2,NFM,Public,AMATEUR,,,"offset=+"
W6SON,-123.450569,38.71143,"Sebastopol",W6SON,communications_transponder,,http://www.poi-factory.com/node/2227,,,,441.375,88.5,NFM,Public,AMATEUR,,,"offset=+"
KJ7XE,-123.429543,48.11787,"Port",KJ7XE,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Angeles,103.5,NFM,Public,AMATEUR,,,"offset=444.775MHz"
W7UVH,-123.37,47.31,"South",W7UVH,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Mtn,100,NFM,Public,AMATEUR,,,"offset=441.925MHz"
WD6FGX,-123.353783,39.409328,"Willits",WD6FGX,communications_transponder,,http://www.poi-factory.com/node/2227,,,,444.5,103.5,NFM,Public,AMATEUR,,,"offset=+"
K7PFJ,-123.26091,44.5644,"Corvallis",K7PFJ,communications_transponder,,http://www.poi-factory.com/node/2227,,,,441.975,100,NFM,Public,AMATEUR,,,"offset=+"
N8GFO,-123.26091,44.5644,"Corvallis",N8GFO,communications_transponder,,http://www.poi-factory.com/node/2227,,,,442.3,162.2,NFM,Public,AMATEUR,,,"offset=+"
KB7TRP,-123.196732,45.21003,"McMinnville",KB7TRP,communications_transponder,,http://www.poi-factory.com/node/2227,,,,441.725,127.3,NFM,Public,AMATEUR,,,"offset=+"
KD7CNH,-123.196732,45.21003,"McMinnville",KD7CNH,communications_transponder,,http://www.poi-factory.com/node/2227,,,,441.8,100,NFM,Public,AMATEUR,,,"offset=+"
K7RPT,-123.110321,45.518368,"Forest",K7RPT,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Grove,,NFM,Public,AMATEUR,,,"offset=442.325MHz"
K7RPT,-123.110321,45.518368,"Forest",K7RPT,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Grove,,NFM,Public,AMATEUR,,,"offset=442.35MHz"
KJ7IY,-123.110321,45.518368,"Forest",KJ7IY,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Grove,107.2,NFM,Public,AMATEUR,,,"offset=442.875MHz"
N7SK,-123.09964,47.215168,"Shelton",N7SK,communications_transponder,,http://www.poi-factory.com/node/2227,,,,443.25,100,NFM,Public,AMATEUR,,,"offset=+"
KD7HTE,-123.09964,47.215168,"Shelton",KD7HTE,communications_transponder,,http://www.poi-factory.com/node/2227,,,,444.45,100,NFM,Public,AMATEUR,,,"offset=+"
K7PFJ,-123.086548,44.052219,"Eugene",K7PFJ,communications_transponder,,http://www.poi-factory.com/node/2227,,,,442.125,100,NFM,Public,AMATEUR,,,"offset=+"
W7EXH,-123.086548,44.052219,"Eugene",W7EXH,communications_transponder,,http://www.poi-factory.com/node/2227,,,,442.9,,NFM,Public,AMATEUR,,,"offset=+"
W7EXH,-123.086548,44.052219,"Eugene",W7EXH,communications_transponder,,http://www.poi-factory.com/node/2227,,,,443.5,,NFM,Public,AMATEUR,,,"offset=+"
K7RPT,-123.086548,44.052219,"Eugene",K7RPT,communications_transponder,,http://www.poi-factory.com/node/2227,,,,443.8,,NFM,Public,AMATEUR,,,"offset=+"
N7QOR,-123.086548,44.052219,"Eugene",N7QOR,communications_transponder,,http://www.poi-factory.com/node/2227,,,,443.95,103.5,NFM,Public,AMATEUR,,,"offset=+"
W7ZQE,-123.057663,43.799068,"Cottage",W7ZQE,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Grove,,NFM,Public,AMATEUR,,,"offset=440.85MHz"
K7PFJ,-123.057663,43.799068,"Cottage",K7PFJ,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Grove,100,NFM,Public,AMATEUR,,,"offset=441.65MHz"
K7SLA,-123.057663,43.799068,"Cottage",K7SLA,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Grove,,NFM,Public,AMATEUR,,,"offset=443.025MHz"
AB7F,-123.034286,44.94141,"Salem",AB7F,communications_transponder,,http://www.poi-factory.com/node/2227,,,,441.375,123,NFM,Public,AMATEUR,,,"offset=+"
KC7NOS,-123.034286,44.94141,"Salem",KC7NOS,communications_transponder,,http://www.poi-factory.com/node/2227,,,,441.7,,NFM,Public,AMATEUR,,,"offset=+"
K7HOG,-123.034286,44.94141,"Salem",K7HOG,communications_transponder,,http://www.poi-factory.com/node/2227,,,,441.825,,NFM,Public,AMATEUR,,,"offset=+"
W7SRA,-123.034286,44.94141,"Salem",W7SRA,communications_transponder,,http://www.poi-factory.com/node/2227,,,,443.725,,NFM,Public,AMATEUR,,,"offset=+"
K7RPT,-123.034286,44.94141,"Salem",K7RPT,communications_transponder,,http://www.poi-factory.com/node/2227,,,,444.125,,NFM,Public,AMATEUR,,,"offset=+"
WA7ABU,-123.034286,44.94141,"Salem",WA7ABU,communications_transponder,,http://www.poi-factory.com/node/2227,,,,444.25,,NFM,Public,AMATEUR,,,"offset=+"
K7KFM,-123.01649,48.53446,"San",K7KFM,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Juan,103.5,NFM,Public,AMATEUR,,,"offset=none"
WO7O,-123.00089,47.56923,"Hood",WO7O,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Canal,103.5,NFM,Public,AMATEUR,,,"offset=443.425MHz"
N6VUD,-122.995209,38.502731,"Guerneville",N6VUD,communications_transponder,,http://www.poi-factory.com/node/2227,,,,441.025,88.5,NFM,Public,AMATEUR,,,"offset=+"
K7AUO,-122.987991,45.521351,"Hillsboro",K7AUO,communications_transponder,,http://www.poi-factory.com/node/2227,,,,443.65,,NFM,Public,AMATEUR,,,"offset=+"
W5RFL,-122.97,48.007,"Blyn",W5RFL,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Mtn,100,NFM,Public,AMATEUR,,,"offset=442.1MHz"
K7KFM,-122.961967,46.661438,"Chehalis",K7KFM,communications_transponder,,http://www.poi-factory.com/node/2227,,,,443.45,103.5,NFM,Public,AMATEUR,,,"offset=+"
AB7F,-122.95049,46.14683,"Longview",AB7F,communications_transponder,,http://www.poi-factory.com/node/2227,,,,440.375,123,NFM,Public,AMATEUR,,,"offset=+"
WR7JM,-122.943,47.75,"Buck",WR7JM,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Mtn,103.5,NFM,Public,AMATEUR,,,"offset=444.3MHz"
N3EG,-122.935066,46.138622,"Longview",N3EG,communications_transponder,,http://www.poi-factory.com/node/2227,,,,441.7,114.8,NFM,Public,AMATEUR,,,"offset=+"
N3EG,-122.935066,46.138622,"Longview",N3EG,communications_transponder,,http://www.poi-factory.com/node/2227,,,,442.125,114.8,NFM,Public,AMATEUR,,,"offset=+"
K7OJI,-122.92215,45.408161,"Huntington",K7OJI,communications_transponder,,http://www.poi-factory.com/node/2227,,,,444.15,100,NFM,Public,AMATEUR,,,"offset=+"
WA6RHK,-122.915527,42.37645,"Central",WA6RHK,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Point,,NFM,Public,AMATEUR,,,"offset=440.825MHz"
W7JM,-122.907532,46.147179,"Kelso",W7JM,communications_transponder,,http://www.poi-factory.com/node/2227,,,,440.525,114.8,NFM,Public,AMATEUR,,,"offset=+"
K7PG,-122.906189,46.574619,"Napavine",K7PG,communications_transponder,,http://www.poi-factory.com/node/2227,,,,444.075,123,NFM,Public,AMATEUR,,,"offset=+"
WA6OYK,-122.902489,38.707722,"Geyserville",WA6OYK,communications_transponder,,http://www.poi-factory.com/node/2227,,,,442.05,100,NFM,Public,AMATEUR,,,"offset=+"
WB0CZA,-122.88332,47.99815,"Maynard",WB0CZA,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Hill,123,NFM,Public,AMATEUR,,,"offset=441.125MHz"
W7PSE,-122.88332,47.99815,"Maynard",W7PSE,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Hill,103.5,NFM,Public,AMATEUR,,,"offset=442.425MHz"
N7BRU,-122.883,45.75,"Scappoose",N7BRU,communications_transponder,,http://www.poi-factory.com/node/2227,,,,444.625,,NFM,Public,AMATEUR,,,"offset=+"
WB7DFV,-122.844582,46.008671,"Kalama",WB7DFV,communications_transponder,,http://www.poi-factory.com/node/2227,,,,442.825,131.8,NFM,Public,AMATEUR,,,"offset=+"
W6LOU,-122.837822,38.977821,"Kelseyville",W6LOU,communications_transponder,,http://www.poi-factory.com/node/2227,,,,441.35,100,NFM,Public,AMATEUR,,,"offset=+"
N6GJM,-122.837822,38.977821,"Kelseyville",N6GJM,communications_transponder,,http://www.poi-factory.com/node/2227,,,,441.425,100,NFM,Public,AMATEUR,,,"offset=+"
W7UMH,-122.831175,48.677577,"Mt",W7UMH,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Constitution,103.5,NFM,Public,AMATEUR,,,"offset=442.75MHz"
K7SKW,-122.831175,48.677577,"Mt",K7SKW,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Constitution,103.5,NFM,Public,AMATEUR,,,"offset=444.05MHz"
WA6TIP,-122.8228,38.402248,"Sebastopol",WA6TIP,communications_transponder,,http://www.poi-factory.com/node/2227,,,,444.825,131.8,NFM,Public,AMATEUR,,,"offset=+"
WC7I,-122.819656,47.03381,"Lacey",WC7I,communications_transponder,,http://www.poi-factory.com/node/2227,,,,442.475,100,NFM,Public,AMATEUR,,,"offset=+"
W6TOZ,-122.808434,47.561599,"Green",W6TOZ,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Mtn,103.5,NFM,Public,AMATEUR,,,"offset=443.675MHz"
K7WF,-122.806,46.1645,"Mt",K7WF,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Brynion,114.8,NFM,Public,AMATEUR,,,"offset=444.125MHz"
KJ7IY,-122.802971,45.486839,"Beaverton",KJ7IY,communications_transponder,,http://www.poi-factory.com/node/2227,,,,444.325,107.2,NFM,Public,AMATEUR,,,"offset=+"
WW7RA,-122.783,47.55,"Gold",WW7RA,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Mtn,103.5,NFM,Public,AMATEUR,,,"offset=442.65MHz"
WA7ABU,-122.781021,45.00592,"Silverton",WA7ABU,communications_transponder,,http://www.poi-factory.com/node/2227,,,,444.95,100,NFM,Public,AMATEUR,,,"offset=+"
KA7ZEM,-122.760033,48.116638,"Port",KA7ZEM,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Townsend,103.5,NFM,Public,AMATEUR,,,"offset=441.325MHz"
KE6QDW,-122.721977,38.821362,"Cobb",KE6QDW,communications_transponder,,http://www.poi-factory.com/node/2227,,,,442.875,,NFM,Public,AMATEUR,,,"offset=+"
KD6CJQ,-122.713997,38.440411,"Santa",KD6CJQ,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Rosa,88.5,NFM,Public,AMATEUR,,,"offset=440.2MHz"
